#qubits,#cycles,circuit,#nodes,#tasks,#threads,#samples,#iterations,#initialHidden,#sampleSteps,run,#hadamards,tvd,f_xeb,duration,success
4,5,1,1,1,1,8,1000,6,0,4,0,0.760922,1.797000,16.137988,True
4,5,1,1,1,1,8,10000,6,0,0,0,0.769242,1.957000,155.841313,True
4,5,1,1,1,1,8,10000,6,0,1,0,0.663768,2.099000,151.444988,True
4,5,1,1,1,1,8,10000,6,0,2,0,0.678091,1.721000,162.559078,True
4,5,1,1,1,1,8,10000,6,0,3,0,0.634690,1.982000,161.559057,True
4,5,1,1,1,1,8,10000,6,0,4,0,0.672655,1.945000,157.306488,True
4,5,1,1,1,1,8,100000,6,0,0,0,0.833098,1.957000,1610.345681,True
4,5,1,1,1,1,8,100000,6,0,1,0,0.898271,1.853000,1645.300718,True
4,5,1,1,1,1,8,100000,6,0,2,0,0.723570,1.968000,1536.482198,True
4,5,1,1,1,1,8,100000,6,0,3,0,0.654465,2.296000,1617.013831,True
4,5,1,1,1,1,8,100000,6,0,4,0,0.788796,1.908000,1552.279079,True
4,5,1,1,1,1,54,1000,6,0,0,0,0.441448,1.985000,52.058207,True
4,5,1,1,1,1,54,1000,6,0,1,0,0.434744,2.127000,50.455894,True
4,5,1,1,1,1,54,1000,6,0,2,0,0.461980,1.923000,51.297109,True
4,5,1,1,1,1,54,1000,6,0,3,0,0.585149,2.185000,53.946283,True
4,5,1,1,1,1,54,1000,6,0,4,0,0.483480,1.781000,52.181679,True
4,5,1,1,1,1,54,10000,6,0,0,0,0.750000,1.989000,510.357098,True
4,5,1,1,1,1,54,10000,6,0,1,0,0.733305,1.954000,501.683407,True
4,5,1,1,1,1,54,10000,6,0,2,0,0.518912,2.292000,506.160242,True
4,5,1,1,1,1,54,10000,6,0,3,0,0.609017,2.192000,497.333089,True
4,5,1,1,1,1,54,10000,6,0,4,0,0.750000,2.207000,501.368536,True
4,5,1,1,1,1,54,100000,6,0,0,0,0.395938,2.088000,5069.739294,True
4,5,1,1,1,1,54,100000,6,0,1,0,0.500000,2.223000,5067.806663,True
4,5,1,1,1,1,54,100000,6,0,2,0,0.254712,2.221000,5066.584468,True
4,5,1,1,1,1,54,100000,6,0,3,0,-,-,-,False
4,5,1,1,1,1,54,100000,6,0,4,0,-,-,-,False
4,5,1,1,1,1,303,1000,6,0,0,0,0.179946,2.313000,210.145983,True
4,5,1,1,1,1,303,1000,6,0,1,0,0.800390,2.024000,211.187503,True
4,5,1,1,1,1,303,1000,6,0,2,0,0.354423,2.045000,216.868640,True
4,5,1,1,1,1,303,1000,6,0,3,0,0.544908,2.155000,217.658580,True
4,5,1,1,1,1,303,1000,6,0,4,0,0.235709,2.407000,207.648719,True
4,5,1,1,1,1,303,10000,6,0,0,0,0.937500,1.910000,2089.261506,True
4,5,1,1,1,1,303,10000,6,0,1,0,0.754388,2.021000,2079.985194,True
4,5,1,1,1,1,303,10000,6,0,2,0,0.875000,2.252000,2075.869149,True
4,5,1,1,1,1,303,10000,6,0,3,0,0.875000,2.093000,2048.272156,True
4,5,1,1,1,1,303,10000,6,0,4,0,0.750000,2.177000,2049.362922,True
4,5,1,1,1,1,303,100000,6,0,0,0,-,-,-,False
4,5,1,1,1,1,303,100000,6,0,1,0,-,-,-,False
