#qubits,#cycles,circuit,#nodes,#tasks,#threads,#samples,#iterations,#initialHidden,#sampleSteps,run,#hadamards,tvd,f_xeb,duration,success
4,5,0,1,1,1,47,1000,6,0,0,0,0.604296,1.780742,43.417516,True
4,5,0,1,1,1,47,1000,6,0,1,0,0.348284,1.989136,45.240097,True
4,5,0,1,1,1,47,1000,6,0,2,0,0.325830,2.066569,43.856312,True
4,5,0,1,1,1,47,1000,6,0,3,0,0.790312,1.905171,44.395763,True
4,5,0,1,1,1,47,1000,6,0,4,0,0.380017,1.952458,42.248146,True
4,5,0,1,1,1,47,10000,6,0,0,0,0.750000,1.999142,429.150803,True
4,5,0,1,1,1,47,10000,6,0,1,0,0.387403,2.208214,434.991949,True
4,5,0,1,1,1,47,10000,6,0,2,0,0.840132,2.114920,426.385787,True
4,5,0,1,1,1,47,10000,6,0,3,0,0.762035,1.950724,424.272510,True
4,5,0,1,1,1,47,10000,6,0,4,0,0.438206,2.234963,450.370516,True
4,5,0,1,1,1,47,100000,6,0,0,0,-,-,-,False
4,5,0,1,1,1,47,100000,6,0,1,0,-,-,-,False
4,5,0,1,1,1,47,100000,6,0,2,0,0.367510,2.023763,4226.578991,True
4,5,0,1,1,1,47,100000,6,0,3,0,-,-,-,False
4,5,0,1,1,1,47,100000,6,0,4,0,-,-,-,False
4,5,0,1,1,1,43,1000,6,0,0,0,0.515327,1.992352,40.155432,True
4,5,0,1,1,1,43,1000,6,0,1,0,0.497664,2.031320,43.946790,True
4,5,0,1,1,1,43,1000,6,0,2,0,0.651631,1.813756,40.291760,True
4,5,0,1,1,1,43,1000,6,0,3,0,0.536252,2.058154,40.237129,True
4,5,0,1,1,1,43,1000,6,0,4,0,0.654073,1.985808,40.145119,True
4,5,0,1,1,1,43,10000,6,0,0,0,0.475567,2.094305,402.813809,True
4,5,0,1,1,1,43,10000,6,0,1,0,0.591542,2.113794,400.608479,True
4,5,0,1,1,1,43,10000,6,0,2,0,0.975688,1.535074,401.792824,True
4,5,0,1,1,1,43,10000,6,0,3,0,0.875000,2.276132,399.246187,True
4,5,0,1,1,1,43,10000,6,0,4,0,0.416119,2.014435,408.137744,True
4,5,0,1,1,1,43,100000,6,0,0,0,-,-,-,False
4,5,0,1,1,1,43,100000,6,0,1,0,-,-,-,False
4,5,0,1,1,1,43,100000,6,0,2,0,-,-,-,False
4,5,0,1,1,1,43,100000,6,0,3,0,-,-,-,False
4,5,0,1,1,1,43,100000,6,0,4,0,0.994638,1.491047,4119.513257,True
4,5,1,1,1,1,8,1000,6,0,0,0,0.458304,2.980418,15.963843,True
4,5,1,1,1,1,8,1000,6,0,1,0,0.554493,2.980333,18.143373,True
4,5,1,1,1,1,8,1000,6,0,2,0,0.643910,3.120993,16.411585,True
4,5,1,1,1,1,8,1000,6,0,3,0,0.643035,3.072357,15.824672,True
4,5,1,1,1,1,8,1000,6,0,4,0,0.623899,3.245236,15.980147,True
4,5,1,1,1,1,8,10000,6,0,0,0,0.542537,3.510541,150.428397,True
4,5,1,1,1,1,8,10000,6,0,1,0,0.890632,1.335241,156.904064,True
4,5,1,1,1,1,8,10000,6,0,2,0,0.573600,2.355354,161.387649,True
4,5,1,1,1,1,8,10000,6,0,3,0,0.705540,2.370243,155.311359,True
4,5,1,1,1,1,8,10000,6,0,4,0,0.834610,1.883071,155.505850,True
4,5,1,1,1,1,8,100000,6,0,0,0,0.883901,1.821466,1626.628086,True
4,5,1,1,1,1,8,100000,6,0,1,0,0.685587,2.700884,1568.722594,True
4,5,1,1,1,1,8,100000,6,0,2,0,0.622428,2.867716,1642.829045,True
4,5,1,1,1,1,8,100000,6,0,3,0,0.608368,2.962943,1594.785015,True
4,5,1,1,1,1,8,100000,6,0,4,0,0.705517,1.941783,1661.351338,True
4,5,1,1,1,1,54,1000,6,0,0,0,0.465749,2.872208,51.335666,True
4,5,1,1,1,1,54,1000,6,0,1,0,0.851610,1.514946,50.613092,True
4,5,1,1,1,1,54,1000,6,0,2,0,0.605662,2.796863,49.050537,True
