#qubits,#cycles,circuit,#nodes,#tasks,#threads,#samples,#iterations,#initialHidden,#sampleSteps,run,#hadamards,tvd,f_xeb,duration,success
4,5,0,1,1,1,43,10000,6,0,4,0,0.744100,2.425556,317.737963,True
4,5,0,1,1,1,43,100000,6,0,0,0,0.590425,2.399482,3124.672685,True
4,5,0,1,1,1,43,100000,6,0,1,0,0.322408,2.246527,3193.234231,True
4,5,0,1,1,1,43,100000,6,0,2,0,0.313522,2.210448,3289.863803,True
4,5,0,1,1,1,43,100000,6,0,3,0,0.464313,2.133731,3107.375358,True
4,5,0,1,1,1,43,100000,6,0,4,0,0.367614,2.135260,3118.134120,True
4,5,1,1,1,1,8,1000,6,0,0,0,0.688041,1.623178,8.148482,True
4,5,1,1,1,1,8,1000,6,0,1,0,0.791582,1.712653,8.322563,True
4,5,1,1,1,1,8,1000,6,0,2,0,0.681052,1.904527,8.514347,True
4,5,1,1,1,1,8,1000,6,0,3,0,0.556519,2.222401,8.414172,True
4,5,1,1,1,1,8,1000,6,0,4,0,0.651815,2.166187,8.166069,True
4,5,1,1,1,1,8,10000,6,0,0,0,0.872880,1.702870,87.973623,True
4,5,1,1,1,1,8,10000,6,0,1,0,0.566453,2.490006,83.031913,True
4,5,1,1,1,1,8,10000,6,0,2,0,0.713274,1.723716,83.389574,True
4,5,1,1,1,1,8,10000,6,0,3,0,0.802947,1.720551,86.263063,True
4,5,1,1,1,1,8,10000,6,0,4,0,0.496091,2.153692,85.505798,True
4,5,1,1,1,1,8,100000,6,0,0,0,0.877368,1.757977,876.058306,True
4,5,1,1,1,1,8,100000,6,0,1,0,0.539098,2.150506,921.965078,True
4,5,1,1,1,1,8,100000,6,0,2,0,0.621354,2.374822,943.212165,True
4,5,1,1,1,1,8,100000,6,0,3,0,0.651738,1.900999,831.313082,True
4,5,1,1,1,1,8,100000,6,0,4,0,0.641811,2.064629,854.358025,True
4,5,1,1,1,1,54,1000,6,0,0,0,0.675893,1.794663,38.228733,True
4,5,1,1,1,1,54,1000,6,0,1,0,0.507886,2.194035,39.251225,True
4,5,1,1,1,1,54,1000,6,0,2,0,0.570840,1.879830,37.447337,True
4,5,1,1,1,1,54,1000,6,0,3,0,0.714087,2.208650,37.462261,True
4,5,1,1,1,1,54,1000,6,0,4,0,0.590230,2.062121,37.097997,True
4,5,1,1,1,1,54,10000,6,0,0,0,0.504417,1.979048,415.054857,True
4,5,1,1,1,1,54,10000,6,0,1,0,0.508059,1.919683,429.515850,True
4,5,1,1,1,1,54,10000,6,0,2,0,0.310126,2.462240,422.779276,True
4,5,1,1,1,1,54,10000,6,0,3,0,0.666189,1.786813,435.194850,True
4,5,1,1,1,1,54,10000,6,0,4,0,0.685970,1.985683,426.743085,True
4,5,1,1,1,1,54,100000,6,0,0,0,0.496527,1.968790,4517.558399,True
4,5,1,1,1,1,54,100000,6,0,1,0,0.437245,2.165161,4279.026586,True
4,5,1,1,1,1,54,100000,6,0,2,0,0.654477,1.695426,4500.646195,True
4,5,1,1,1,1,54,100000,6,0,3,0,0.546102,2.095966,4326.756134,True
4,5,1,1,1,1,54,100000,6,0,4,0,0.467837,2.437727,4098.885307,True
4,5,1,1,1,1,303,1000,6,0,0,0,0.697811,2.133662,178.247515,True
