#qubits,#cycles,circuit,#nodes,#tasks,#threads,#samples,#iterations,#initialHidden,#sampleSteps,run,#hadamards,tvd,f_xeb,duration,success
4,5,1,1,1,1,8,100000,6,0,0,0,0.940424,1.719190,344.914066,True
4,5,1,1,1,1,8,100000,6,0,1,0,0.683403,2.702808,369.998438,True
4,5,1,1,1,1,8,100000,6,0,2,0,0.628285,2.408889,329.565973,True
4,5,1,1,1,1,8,100000,6,0,3,0,0.743926,2.443375,336.992833,True
4,5,1,1,1,1,8,100000,6,0,4,0,0.584553,1.905421,338.899405,True
4,5,1,1,1,1,54,1000,6,0,0,0,0.683007,1.701072,12.815464,True
4,5,1,1,1,1,54,1000,6,0,1,0,0.336646,2.529281,12.714699,True
4,5,1,1,1,1,54,1000,6,0,2,0,0.597806,2.144733,10.436232,True
4,5,1,1,1,1,54,1000,6,0,3,0,0.740545,3.034492,9.336398,True
4,5,1,1,1,1,54,1000,6,0,4,0,0.892775,1.554552,10.116947,True
4,5,1,1,1,1,54,10000,6,0,0,0,0.968750,1.466851,110.037163,True
4,5,1,1,1,1,54,10000,6,0,1,0,0.817862,3.278611,111.587197,True
4,5,1,1,1,1,54,10000,6,0,2,0,0.926777,1.488312,107.296912,True
4,5,1,1,1,1,54,10000,6,0,3,0,0.817858,3.342423,106.563946,True
4,5,1,1,1,1,54,10000,6,0,4,0,0.514317,2.022510,109.870806,True
4,5,1,1,1,1,54,100000,6,0,0,0,0.380343,2.855590,1106.862497,True
4,5,1,1,1,1,54,100000,6,0,1,0,-,-,-,False
4,5,1,1,1,1,54,100000,6,0,2,0,0.347950,2.398950,1159.219677,True
4,5,1,1,1,1,54,100000,6,0,3,0,-,-,-,False
4,5,1,1,1,1,54,100000,6,0,4,0,-,-,-,False
4,5,1,1,1,1,303,1000,6,0,0,0,0.776485,2.830288,41.013488,True
4,5,1,1,1,1,303,1000,6,0,1,0,0.659659,1.946108,40.035551,True
4,5,1,1,1,1,303,1000,6,0,2,0,0.733346,1.548662,41.227133,True
4,5,1,1,1,1,303,1000,6,0,3,0,0.854121,1.615159,42.397089,True
4,5,1,1,1,1,303,1000,6,0,4,0,0.672079,1.893736,40.884431,True
4,5,1,1,1,1,303,10000,6,0,0,0,0.987567,1.438548,464.516420,True
4,5,1,1,1,1,303,10000,6,0,1,0,0.937500,1.472164,444.384243,True
4,5,1,1,1,1,303,10000,6,0,2,0,0.963312,1.448432,455.814742,True
4,5,1,1,1,1,303,10000,6,0,3,0,0.543163,2.190767,445.173496,True
4,5,1,1,1,1,303,10000,6,0,4,0,0.978553,1.407565,435.820776,True
4,5,1,1,1,1,303,100000,6,0,0,0,0.926777,1.470857,4403.246630,True
4,5,1,1,1,1,303,100000,6,0,1,0,-,-,-,False
4,5,1,1,1,1,303,100000,6,0,2,0,-,-,-,False
4,5,1,1,1,1,303,100000,6,0,3,0,-,-,-,False
4,5,1,1,1,1,303,100000,6,0,4,0,-,-,-,False
4,5,1,1,1,1,54,1000,6,0,0,0,0.683007,1.701072,12.815464,True
4,5,1,1,1,1,54,1000,6,0,1,0,0.336646,2.529281,12.714699,True
4,5,1,1,1,1,54,1000,6,0,2,0,0.597806,2.144733,10.436232,True
4,5,1,1,1,1,54,1000,6,0,3,0,0.740545,3.034492,9.336398,True
4,5,1,1,1,1,54,1000,6,0,4,0,0.892775,1.554552,10.116947,True
4,5,1,1,1,1,54,10000,6,0,0,0,0.968750,1.466851,110.037163,True
4,5,1,1,1,1,54,10000,6,0,1,0,0.817862,3.278611,111.587197,True
4,5,1,1,1,1,54,10000,6,0,2,0,0.926777,1.488312,107.296912,True
4,5,1,1,1,1,54,10000,6,0,3,0,0.817858,3.342423,106.563946,True
4,5,1,1,1,1,54,10000,6,0,4,0,0.514317,2.022510,109.870806,True
4,5,1,1,1,1,54,100000,6,0,0,0,0.380343,2.855590,1106.862497,True
4,5,1,1,1,1,54,100000,6,0,1,0,-,-,-,False
4,5,1,1,1,1,54,100000,6,0,2,0,0.347950,2.398950,1159.219677,True
4,5,1,1,1,1,54,100000,6,0,3,0,-,-,-,False
4,5,1,1,1,1,54,100000,6,0,4,0,-,-,-,False
4,5,1,1,1,1,50,1000,6,0,0,0,0.686206,2.615460,9.874959,True
4,5,1,1,1,1,50,1000,6,0,1,0,0.743699,2.055397,9.468220,True
4,5,1,1,1,1,50,1000,6,0,2,0,0.505317,2.126816,9.229404,True
4,5,1,1,1,1,50,1000,6,0,3,0,0.697845,1.916235,9.402694,True
4,5,1,1,1,1,50,1000,6,0,4,0,0.585086,2.173907,8.832823,True
4,5,1,1,1,1,50,10000,6,0,0,0,0.989420,1.460560,104.384764,True
4,5,1,1,1,1,50,10000,6,0,1,0,0.635723,3.352423,102.270584,True
4,5,1,1,1,1,50,10000,6,0,2,0,0.643499,2.640973,104.297782,True
4,5,1,1,1,1,50,10000,6,0,3,0,0.853553,1.448658,98.525331,True
4,5,1,1,1,1,50,10000,6,0,4,0,0.994634,1.454205,99.315127,True
4,5,1,1,1,1,50,100000,6,0,0,0,-,-,-,False
4,5,1,1,1,1,50,100000,6,0,1,0,-,-,-,False
4,5,1,1,1,1,50,100000,6,0,2,0,-,-,-,False
4,5,1,1,1,1,50,100000,6,0,3,0,0.989277,1.451933,1026.945007,True
4,5,1,1,1,1,50,100000,6,0,4,0,-,-,-,False
4,5,1,1,1,1,47,1000,6,0,0,0,0.574444,2.202759,8.514501,True
4,5,1,1,1,1,47,1000,6,0,1,0,0.552482,2.006804,9.069849,True
4,5,1,1,1,1,47,1000,6,0,2,0,0.699954,1.640294,8.999060,True
4,5,1,1,1,1,47,1000,6,0,3,0,0.655465,2.357176,8.889605,True
